Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"60 Умывальник ""Элеганс 600""",,,,д6491,заводской брак,холодный треск,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002069 от 24.09.2025 14:38:51,,Существенный,1,,"2 062,73"
EG230026 Поддон акриловый 90х90х25 полукруглый (с сифоном),,,,д6488,заводской брак,царапина,Китай - Санвей,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002085 от 06.10.2025 9:25:57,,Существенный,1,,"4 382,86"
"Унитаз-компакт ""Лира"" белый  Киров, антивсплеск, кос.выпуск, сид. полипропилен",,,,д6485,бой при доставке,бой,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"4 780,54"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6508,заводской брак,Брак,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок T1087 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6533,заводской брак,царапина,Китай - Виландор,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002087 от 06.10.2025 9:35:44,,Существенный,1,,"6 873,10"
"Компакт:TRENTO TR011 3/6 гориз.с кр.термопласт. Lifting, белый, Сорт1(12)",,,,д6546,течь,Течет,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"5 593,00"
"A2101 Унитаз-компакт, сиденье ПП, крепления, арматура, гориз. выпуск. СОРТ 2",,,,д6548,течь,Течь,Китай - Лори,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002083 от 06.10.2025 9:20:01,,Существенный,1,,"3 169,03"
"A2101 Унитаз-компакт, сиденье ПП, крепления, арматура, гориз. выпуск. СОРТ 2",,,,д6547,течь,Течь,Китай - Лори,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002083 от 06.10.2025 9:20:01,,Существенный,1,,"3 169,03"
Сиденье ДП с доводчиком для унитаза 5005 (подходит к SM9004A),,,,30699,Брак Сиденья ,треснул стульчак,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"850,19"
"85 Умывальник ""Оскар 850""",,,,д6552,бой при хранении (клиент),Трещина на умывальнике,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 938,12"
"50 Умывальник ""Уют 500""",,,,д6513,заводской брак,недолив эмали,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002073 от 25.09.2025 16:35:58,,Существенный,1,,"1 688,64"
"Пьедестал ""универсальный"" белый (подходит к умыв.Фея)",,,,д6507,бой в целой коробке,скол,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"1 108,30"
"Унитаз-компакт ""Камелия"" белый Стандарт, кос.выпуск, ниж,.подвод, с сиденьем",,,,д6506,заводской брак,"засорки,мушки",ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 500,48"
"Унитаз-компакт ""Камелия"" белый Стандарт, кос.выпуск, ниж,.подвод, с сиденьем",,,,д6515,заводской брак,холодный треск,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 500,48"
"Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,д6516,заводской брак,скол бачка внутри,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 485,83"
"Компакт:JUST JUS031 ,3/6 л., с кр.термопл. косой вып., lifting., белый, Сорт1 (12)",,,,д6528,бой в целой коробке,бой чаши,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"5 593,00"
"A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,д6527,заводской брак,холодный треск,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"3 510,95"
Столешница к столу рабочему 600 (Гранит сардинский св),,,,д6525,бой в целой коробке,глубокая вмятина,Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"403,13"
"Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,д6530,заводской брак,"засорки,недолив эмали",ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 485,83"
"105 Умывальник ""Дуглас 1050""",,,,д6519,бой при доставке,бой,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"6 736,54"
"A2801, A2801B Бачок для унитаза-компакта, арматура",,,,д6498,заводской брак,потертость на крышке бачка,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"1 757,84"
"A2801B Унитаз безободковый с биде, сиденье тонкое ДП, крепления (без бачка)",,,,д6496,заводской брак,плеш на ободе,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"5 440,93"
"A2801B Унитаз безободковый с биде, сиденье тонкое ДП, крепления (без бачка)",,,,д6497,заводской брак,металлизация,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"5 440,93"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6362,дефект мастера ОТК,царапина,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"3 784,31"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д6363,заводской брак,холодный треск,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002076 от 02.10.2025 9:53:10,,Существенный,1,,"2 730,30"
"A080 Бачок для унитаза-компакта, арматура",,,,д6361,дефект мастера ОТК,"прыш на бачке,царапины на крышке бачка",Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"1 702,94"
"75 Умывальник ""Дуглас 750""",,,,д6364,заводской брак,недолив эмали,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002073 от 25.09.2025 16:35:58,,Существенный,1,,"4 069,00"
"75 Тумба ""Michael 75"" №2 (ум. Дуглас 750), цвет мокка мусс",,,,д6367,заводской брак,бой планки,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"6 890,00"
"75 Тумба ""Sky 75"" (ум. Оскар 75, Quadro 750)",,,,д6366,бой в целой коробке,бой задней планки,Овчинникова Марина Николаевна ИП (FSC),Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"8 171,70"
"75 Тумба ""Duglas 75"" с ящиками (ум.Дуглас 75) с сифоном",,,,д6365,заводской брак,"воздух под пленкой,сколы",ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"8 925,00"
"60 Тумба ""НК -60""  (ум. Уют 600)",,,,д6355,бой при доставке,бой,ВЕРСАЛЬ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 319,15"
"60 Тумба ""Sevilla 60"" с полкой на двери (ум.CITY 60/Como 60/Pearl 600)",,,,д6356,заводской брак,царапина на двери,Овчинникова Марина Николаевна ИП (FSC),Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"4 649,37"
"Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6354,дефект мастера ОТК,металлизация обода,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 237,72"
"Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6353,дефект мастера ОТК,"металлизация крышки бачка,потертость от скоб",Китай - Тренд,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002089 от 06.10.2025 9:41:16,,Существенный,1,,"5 606,11"
"70 Тумба ""Fantasy 70"" 2ящ. белое дерево ( ум. ""Фостер 700""/COMO 70)",,,,д6495,заводской брак,бой задней планки ,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"5 973,84"
"80 Раковина встраив.: COMO 80 1 отв., белый, Сорт1(18)",,,,д6494,бой при доставке,скол,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"4 440,30"
"A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,д6517,заводской брак,Непрокрас чаши,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 510,95"
"A2102 Унитаз-компакт, безободковый, сиденье ПП, крепления, арматура, гориз. выпуск. СОРТ 2",,,,д6563,течь,Течь,Китай - Лори,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002083 от 06.10.2025 9:20:01,,Существенный,1,,"3 380,30"
"A2101 Унитаз-компакт, сиденье ПП, крепления, арматура, гориз. выпуск. СОРТ 2",,,,д6518,течь,Протекает колено внутри унитаза,Китай - Лори,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002083 от 06.10.2025 9:20:01,,Существенный,1,,"3 169,03"
"Выставочный стенд универсальный для ДО (120*90; 120*80; в проем 90 и 100) EvaGold 2466х1250х950,(металл) цвет серый",,,,д6509,заводской брак,Не сходится по размерам,ЭКВИП ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"17 917,43"
"35 Пенал-шкаф ""Fantasy 35"" белое дерево",,,,д6571,заводской брак,"Дверь не закрывается, полки не ставятся",Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 735,62"
"80 Умывальник ""Грэмми"" 800",,,,д6532,бой в целой коробке,скол угла,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"4 914,00"
"Дозатор настольный, MARBLE LIGHT, полирезин",,,,д6523,заводской брак,скол,АКС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"582,00"
"65 Тумба ""Paola 65"" (ум. Оскар 65/ Вилис 65)",,,,д6554,бой при доставке,бой дна,Росток-Мебель,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"4 031,83"
"Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д6514,бой при хранении (склад),бой при погрузке,Китай - Хангпай,Сотрудники,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"3 924,21"
400 Стол рабочий/разделочный (4 ящика) - Графит (40*84*43),,,,д6544,бой при доставке,"порвана коробка,битые углы",Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"3 654,86"
500 Стол под мойку - Графит (мойка 50*50),,,,д6545,бой при доставке,"порвана коробка,битые углы",Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"1 568,14"
"75 Тумба ""Michael 75"" (ум. Дуглас 750)",,,,д6559,заводской брак,"Отслоение пленки, большая щель между умывальником и ящиком тумбы",ГЭОС,Поставщик,Склад РВП ОСНОВНОЙ,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 890,00"
"75 Умывальник ""Дуглас 750""",,,,д6560,заводской брак,Нарушена геометрия умывальника,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002073 от 25.09.2025 16:35:58,,Существенный,1,,"4 069,00"
"40 Пенал-шкаф «Michael 40» универсальный, цвет белый",,,,д6586,заводской брак,Отслоение пленки,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 990,00"
Поддон акриловый ABS04 120х80х15 прямоугольный (с сифоном),,,,д6585,заводской брак,"вздутие акрила, поддон не использовался/ Товар хранился в сухом закрытом помещении ",Китай - АОНИСИ,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002082 от 06.10.2025 9:16:00,,Существенный,1,,"4 914,87"
Тропический душ оружейная сталь для FS12GR,,,,д6582,заводской брак,При снятии защитной пленки обнаружена царапина на душевой лейке,Китай - Чаотай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002086 от 06.10.2025 9:27:55,,Существенный,1,,"455,65"
"Умывальник ""Рио"" 550*410 (Белый, с отверстием под смеситель) под кронштейн и пьедестал",,,,д6576,заводской брак,Трещина на умывальнике,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002074 от 29.09.2025 10:27:02,,Существенный,1,,"2 495,58"
"80 Тумба ""Catherine 80 №2""  (ум. Фостер 800П/800/COMO 80) белый камень",,,,д6529,заводской брак,скол внутри на ящике,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"6 755,17"
"Умывальник ""Фея"" 550*440*190 белый с отверстием без перелива ",,,,д6539,заводской брак,брак литья,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"1 517,25"
"Унитаз-компакт ""Сигма"" home de luxe,  1 уров. арматура, с сид.  и болтами крепления",,,,д6540,заводской брак,недолив бачка,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"4 124,31"
"Унитаз-компакт ""Стандарт Эконом"" белый  Киров, кос.выпуск, сид. полипропилен (упрощенное)",,,,д6553,не комплект поставщик,нет сиденья,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002074 от 29.09.2025 10:27:02,,Существенный,1,,"3 883,04"
"Унитаз-моноблок SM9006A, сиденье ДП, арматура (с гофрой и подводкой)",,,,д6549,бой в целой коробке,скол крышки внутри,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 908,74"
"Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6557,заводской брак,металлизация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 504,63"
Унитаз-компакт Ирида (Старый Оскол) гориз. выпуск,,,,д6570,бой в целой коробке,скол бачка,Строй Керамика Сервис,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002079 от 02.10.2025 10:41:47,,Существенный,1,,"6 609,68"
"Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,д6562,заводской брак,засорки,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 606,30"
"Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,д6561,заводской брак,засорки,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 606,30"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д6567,заводской брак,скол угла,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002076 от 02.10.2025 9:53:10,,Существенный,1,,"2 730,30"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д6565,заводской брак,прыш на лицевой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002076 от 02.10.2025 9:53:10,,Существенный,1,,"2 730,30"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д6566,заводской брак,засорки,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002076 от 02.10.2025 9:53:10,,Существенный,1,,"2 730,30"
"A2801, A2801B Бачок для унитаза-компакта, арматура",,,,д6564,заводской брак,"недолив крышки бачка,царапина на бачке",Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"1 721,05"
"Мойка кухонная нерж. 60*80*13,5 эконом 0,4мм правая (15)",,,,д6578,заводской брак,мятая,КромРус ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"841,50"
"Унитаз-компакт ""Сигма"" home de luxe,  1 уров. арматура, с сид.  и болтами крепления",,,,д6581,заводской брак,"потертость,недолив на бачке ",ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"4 124,31"
"Экран п/в ""Кварт"" белый 1,68 (6)",,,,д6579,заводской брак,потертость,Сибпласт,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"986,70"
45120 Eva Gold Зеркало 45*35,,,,д6580,бой при доставке,бой,Новоселов Дмитрий Анатольевич,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"493,47"
"75 Умывальник ""Стиль 750""",,,,д6574,бой в целой коробке,скол угла,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,Списание недостач товаров ГФУТ-000105 от 31.10.2025 9:39:35,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002074 от 29.09.2025 10:27:02,,Существенный,1,,"3 316,67"
"70 Раковина встраив.: ERICA ERI70 1 отв., белый,Сорт1(15)",,,,д6575,заводской брак,царапина на лицевой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002077 от 02.10.2025 10:03:36,,Существенный,1,,"3 563,33"
"Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,д6577,заводской брак,недолив эмали на ободе чаши,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 606,30"
"A2807. A2808, A2809 Бачок для унитаза-компакта, арматура",,,,д6589,заводской брак,недолив эмали и точка на крышке бачка,Китай - Хангпай,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 086,32"
"60 Раковина встраив.: COMO 60 1 отв., белый, Сорт1(24)",,,,д6583,бой при доставке,бой,КЕРАМИК СОЛЮШНС РУС ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 730,30"
"Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6584,заводской брак,металлизация на крышке бачка,Китай - Тренд,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002089 от 06.10.2025 9:41:16,,Существенный,1,,"5 606,11"
50 Пенал-шкаф «Retro 50» №2 универсальный,,,,д6596,бой при хранении (клиент),"установлены ножки,порвана упаковка,Многочисленные повреждения корпуса пенала",ГЭОС,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"8 990,00"
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6598,дефект мастера ОТК,"Трещина на корпусе,следы герметика ",Китай - Хангпай,Сотрудники,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"8 205,57"
Унитаз-компакт Элисса Белый нижний подвод (Старый Оскол),,,,д6599,течь,Течет (сухой треск),Строй Керамика Сервис,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"5 064,34"
"A080 Бачок для унитаза-компакта, арматура",,,,д6590,заводской брак,Бачек с крышкой не совпадают и трещина из нутри,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"Унитаз-компакт ""W 101"" GESSO  кос.выпуск, ниж. подвод,1 уров. арматура, сид. полипропилен",,,,д6535,заводской брак,недолив эмали на ободе,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002080 от 02.10.2025 10:51:04,,Существенный,1,,"3 606,30"
"Унитаз подвесной K709T с круговым смывом безободковый, сиденье тонкое ДП, крепления",,,,д6534,заводской брак,металлизация на ободе,Китай - Тренд,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002089 от 06.10.2025 9:41:16,,Существенный,1,,"4 412,67"
