Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"105 Тумба ""Taylor 105"" (ум. Дуглас 105/Виктория-100) с сифоном",,,,д5978,бой в целой коробке,бой задней планки,ДОМ МЕБЕЛИ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"10 917,73"
"Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д5976,заводской брак,течь(упаковки нет),Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 440,31"
"100 Тумба ""Michael 100"" (ум. Грэмми 1000), цвет белый",,,,д5972,заводской брак,У верхнего ящика с одной стороны доводчик не срабатывает и вся тумба в точках клея или что то похожеге на него,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"7 990,00"
"85 Тумба ""Retro 85"" №2 (ум. Модерн 850)",,,,д5973,заводской брак,Скол на уголке стенки лицевой стороны (коробка и пенопласт в этих местах были размокшими и надорванными),ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 450,00"
"70 Шкаф-зеркало ""Merino 70"" №2 белый глянец",,,,д5895,возврат по договору,"не продается,нет упаковки",Овчинникова Марина Николаевна ИП (FSC),Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"4 838,09"
Поддон акриловый ABS04 120х80х15 прямоугольный (с сифоном),,,,д5989,заводской брак,"На поддоне трещина, вмятины ",Китай - АОНИСИ,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002082 от 06.10.2025 9:16:00,,Существенный,1,,"4 624,28"
"60 Зеркало-шкаф ""Bamby 60""",,,,д5993,заводской брак,скол на зеркале,Росток-Мебель,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"2 666,65"
"85 Умывальник ""Модерн 850""",,,,д5995,заводской брак,кривой,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002060 от 12.09.2025 10:27:41,,Существенный,1,,"5 013,84"
"EG1BT Душевое ограждение в проем EvaGold 120х190, профиль черный матовый, тонированное стекло",,,,д5991,заводской брак,Сколы на краю стекла ,Китай - Санвей,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002085 от 06.10.2025 9:25:57,,Существенный,1,,"5 422,27"
"Унитаз подвесной K504 безободковый, сиденье тонкое ДП, крепления",,,,д5997,заводской брак,Царапина около ободка унитаза(недокрас),Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"4 232,91"
