,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"Унитаз приставной P03 безободковый, сиденье тонкое ДП, крепления",,,,,,,1,"5 309,65",,Д7260,Акт о браке 000021582 от 19.11.2025 11:50:10,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A080 Унитаз-компакт, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,,,,1,"5 216,23",,Д7523,Акт о браке 000021929 от 09.12.2025 11:46:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"A8060 Унитаз-компакт, безободковый, сиденье тонкое ДП, удлин. патрубок, крепления, арматура, гориз. выпуск",,,,,,,1,"4 745,71",,Д7280,Акт о браке 000021586 от 19.11.2025 14:56:51,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A8060 Унитаз-компакт, безободковый, сиденье тонкое ДП, удлин. патрубок, крепления, арматура, гориз. выпуск",,,,,,,1,"4 745,71",,Д7412,Акт о браке 000021821 от 02.12.2025 14:28:33,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"3 555,47",,Д7244,Акт о браке 000021576 от 19.11.2025 9:33:25,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Претензия клиента,течь,Китай - Виздом,4,"31 223,87",,,,,,
"A2801B Унитаз-компакт, безободковый с биде, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,,,,1,"10 505,42",,Д7509,Акт о браке 000021883 от 04.12.2025 14:05:02,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"10 285,99",,Д7407,Акт о браке 000021758 от 01.12.2025 14:29:29,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A080 Унитаз-компакт, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,,,,1,"5 216,23",,Д7717,Акт о браке 000022067 от 22.12.2025 13:50:37,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"A080 Унитаз-компакт, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,,,,1,"5 216,23",,Д7718,Акт о браке 000022067 от 22.12.2025 13:50:37,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Китай - Виландор,4,"30 035,88",,,,,,
"Унитаз-моноблок T1085 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 508,97",,Е835,Акт о браке 000021909 от 09.12.2025 9:21:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок T1085 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 508,97",,Е836,Акт о браке 000021909 от 09.12.2025 9:21:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок T1085 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 508,97",,Е837,Акт о браке 000021909 от 09.12.2025 9:21:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок T1085 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 508,97",,Е838,Акт о браке 000021909 от 09.12.2025 9:21:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Китай - Джинсили,8,"29 422,67",,,,,,
"Унитаз безободковый EG312T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 464,47",,Е738,Акт о браке 000021835 от 03.12.2025 11:12:53,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG308T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 463,06",,Е732,Акт о браке 000021772 от 02.12.2025 10:07:42,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG308T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 463,06",,Е737,Акт о браке 000021836 от 03.12.2025 11:17:07,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG309T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 362,14",,Е735,Акт о браке 000021836 от 03.12.2025 11:17:07,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG311T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 362,13",,Е731,Акт о браке 000021772 от 02.12.2025 10:07:42,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG312T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 362,13",,Е656,Акт о браке 000021984 от 16.12.2025 9:51:41,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Бачок для унитаза-компакта EG309T, EG3010T, EG311T, EG312T, арматура",,,,,,,1,"1 472,84",,Е739,Акт о браке 000021771 от 02.12.2025 9:51:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Бачок для унитаза-компакта EG309T, EG3010T, EG311T, EG312T, арматура",,,,,,,1,"1 472,84",,Е744,Акт о браке 000021771 от 02.12.2025 9:51:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,бой при доставке,Кировская керамика АО,10,"29 335,35",,,,,,
"70 Умывальник ""Грэмми"" 700",,,,,,,1,"4 213,32",,Д7187,Акт о браке 000021683 от 25.11.2025 9:18:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"65 Умывальник ""Вилис"" 650",,,,,,,1,"3 954,93",,Д7284,Акт о браке 000021807 от 02.12.2025 12:13:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"65 Умывальник ""Оскар 650""",,,,,,,1,"3 655,71",,Д7201,Акт о браке 000021603 от 20.11.2025 10:12:46,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-компакт ""Комфорт"" Люкс белый Киров, антивсплеск, кос.выпуск, сид.микролифт, армат. 3/6",,,,,,,1,"3 603,69",,Д7282,Акт о браке 000021696 от 25.11.2025 10:02:03,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-компакт ""Комфорт"" белый Киров, антивсплеск, кос.выпуск, сид.полипропилен, армат. 3/6",,,,,,,1,"3 096,24",,Д7333,Акт о браке 000021792 от 02.12.2025 11:24:56,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-компакт ""Лира"" белый  Киров, антивсплеск, кос.выпуск, сид. полипропилен",,,,,,,1,"2 917,83",,Д7277,Акт о браке 000021697 от 25.11.2025 10:02:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"65 Умывальник ""Стиль 650""",,,,,,,1,"2 298,5",,Д7709,Акт о браке 000022100 от 23.12.2025 15:55:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"60 Умывальник ""Элеганс 600""",,,,,,,1,"2 060,38",,Д7531,Акт о браке 000021994 от 16.12.2025 12:49:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"55 Умывальник ""Уют 550""",,,,,,,1,"1 837,46",,Д7176,Акт о браке 000021692 от 25.11.2025 9:41:46,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"50 Умывальник ""Уют 500""",,,,,,,1,"1 697,29",,Д7705,Акт о браке 000022101 от 23.12.2025 15:56:04,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,В приходе от поставщика,бой\скол от поставщика,Кировская керамика АО,8,"29 015,37",,,,,,
"105 Умывальник ""Дуглас 1050""",,,,,,,1,"6 792,38",,Д7324,Акт о браке 000021717 от 26.11.2025 13:33:51,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"85 Умывальник ""Модерн 850""",,,,,,,1,"5 286,58",,Д7323,Акт о браке 000021717 от 26.11.2025 13:33:51,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-компакт ""Соло"" Люкс белый  Киров, гор. выпуск, ниж. подвод, сид. микролифт, армат. 3/6",,,,,,,1,"3 281,79",,Д7289,Акт о браке 000021594 от 20.11.2025 10:03:28,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-компакт ""Комфорт"" белый Киров, антивсплеск, кос.выпуск, сид.полипропилен, армат. 3/6",,,,,,,1,"3 096,24",,Д7480,Акт о браке 000021870 от 04.12.2025 10:00:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-компакт ""Комфорт"" белый Киров, антивсплеск, кос.выпуск, сид.полипропилен, армат. 3/6",,,,,,,1,"3 075,2",,Д7534,Акт о браке 000021914 от 09.12.2025 9:55:07,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-компакт ""Комфорт"" белый Киров, антивсплеск, кос.выпуск, сид.полипропилен, армат. 3/6",,,,,,,1,"3 075,2",,Д7535,Акт о браке 000021914 от 09.12.2025 9:55:07,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"65 Умывальник ""Элеганс 650""",,,,,,,1,"2 203,99",,Д7478,Акт о браке 000021870 от 04.12.2025 10:00:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"65 Умывальник ""Элеганс 650""",,,,,,,1,"2 203,99",,Д7479,Акт о браке 000021870 от 04.12.2025 10:00:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,течь,Китай - Виландор,3,"27 339,5",,,,,,
"Унитаз-моноблок T1070 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"11 716,8",,Д7606,Акт о браке 000022019 от 17.12.2025 15:10:28,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок T1088 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"9 718,38",,Д7546,Акт о браке 000021942 от 09.12.2025 15:23:50,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"T2335 Унитаз-компакт, безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск",,,,,,,1,"5 904,32",,Д7688,Акт о браке 000022086 от 23.12.2025 13:05:51,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
_МП утилизация / комиссия МП,,,,,,Овчинникова Марина Николаевна ИП (FSC),3,"26 487,96",,,,,,
"100 Тумба ""Bellucci 100"" (ум. Беверли - 100)",,,,,,,1,"12 449,52",,МП6415,,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"40 Пенал-шкаф ""Bellucci 40""",,,,,,,1,"12 247,95",,МП6405,,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),,,,,,,1,"1 790,49",,МП6405,,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Виландор,3,"25 222,37",,,,,,
"Унитаз-моноблок T1060 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 875,58",,Д7227,Акт о браке 000021574 от 18.11.2025 15:48:23,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок T1060 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 875,58",,Д7459,Акт о браке 000021829 от 03.12.2025 9:28:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок T1085 безободковый круговой смыв, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 471,21",,Д7179,Акт о браке 000021692 от 25.11.2025 9:41:46,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Кировская керамика АО,11,"21 925,81",,,,,,
"60 Умывальник ""Фостер 600""",,,,,,,1,"2 634,75",,МП6463,Акт о браке 000022091 от 23.12.2025 14:47:50,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"60 Умывальник ""Фостер 600""",,,,,,,1,"2 634,75",,МП6468,Акт о браке 000022098 от 23.12.2025 15:49:31,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"65 Умывальник ""Элеганс 650""",,,,,,,1,"2 055,76",,МП6419,Акт о браке 000021812 от 02.12.2025 12:32:00,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"65 Умывальник ""Элеганс 650""",,,,,,,1,"2 055,76",,МП6459,Акт о браке 000022032 от 18.12.2025 15:25:59,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"55 Умывальник ""Уют 550""",,,,,,,1,1 841,,МП6417,Акт о браке 000021814 от 02.12.2025 12:34:21,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"55 Умывальник ""Уют 550""",,,,,,,1,1 841,,МП6424,Акт о браке 000021853 от 03.12.2025 13:56:35,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"55 Умывальник ""Уют 550""",,,,,,,1,1 841,,МП6446,Акт о браке 000021930 от 09.12.2025 13:12:51,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"55 Умывальник ""Уют 550""",,,,,,,1,"1 814,82",,МП6463,Акт о браке 000022090 от 23.12.2025 14:45:14,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"55 Умывальник ""Уют 550""",,,,,,,1,"1 814,82",,МП6467,Акт о браке 000022089 от 23.12.2025 14:43:37,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"55 Умывальник ""Уют 550""",,,,,,,1,"1 814,82",,МП6474,Акт о браке 000022099 от 23.12.2025 15:52:33,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
"50 Умывальник ""Уют 500""",,,,,,,1,"1 577,33",,МП6433,Акт о браке 000021875 от 04.12.2025 11:22:27,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Джиохол,4,"21 106,41",,,,,,
"Унитаз-моноблок T1029, сиденье ДП. арматура (с гофрой и подводкой)",,,,,,,1,"6 531,73",,Д7589,Акт о браке 000022014 от 17.12.2025 10:05:13,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок EG402 безободковый, сиденье тонкое ДП, арматура, СОРТ 2 без гофры и подводки",,,,,,,1,"6 205,54",,Д7313,Акт о браке 000021666 от 25.11.2025 8:52:25,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG307T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 184,57",,Д7272,Акт о браке 000021591 от 19.11.2025 15:34:49,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG307T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 184,57",,Д7408,Акт о браке 000021800 от 02.12.2025 11:34:17,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Бой или порча товара на складе,бой при хранении (склад),Овчинникова Марина Николаевна ИП (FSC),2,"20 063,98",,,,,,
"105 Тумба ""Sofa"" (ум. Дуглас 1050/ Виктория 1000)",,,,,,,1,"10 031,99",,Д7732,Акт о браке 000022069 от 22.12.2025 16:26:15,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"105 Тумба ""Sofa"" (ум. Дуглас 1050/ Виктория 1000)",,,,,,,1,"10 031,99",,Д7733,Акт о браке 000022069 от 22.12.2025 16:26:15,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Китай - Джиохол,4,"18 614,24",,,,,,
"Унитаз-моноблок T1029, сиденье ДП. арматура, СОРТ 2 без гофры и подводки",,,,,,,1,"6 747,72",,Е664,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок EG400 безободковый, сиденье тонкое ДП, арматура, СОРТ 2 без гофры и подводки",,,,,,,1,"6 075,16",,Е896,Акт о браке 000021940 от 09.12.2025 14:13:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз безободковый EG307T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"4 184,57",,Е696,Акт о браке 000021564 от 18.11.2025 10:04:27,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Бачок для унитаза-компакта EG306T, EG307T, арматура",,,,,,,1,"1 606,79",,Е740,Акт о браке 000021771 от 02.12.2025 9:51:39,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,АЛМАЗ,2,"18 279,2",,,,,,
"100 Тумба ""Fernanda 100"" (ум. Миранда 100/Грэмми 100/Фостер 100)",,,,,,,1,"12 555,31",,Д6892,Акт о браке 000021234 от 22.10.2025 16:13:05,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"100 Зеркало ""Fernanda 100""",,,,,,,1,"5 723,89",,Д6111,Акт о браке 000020563 от 09.09.2025 9:05:31,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,При проверке ОТК,бой при хранении (склад),КЕРАМИК СОЛЮШНС РУС ООО,1,"17 913,7",,,,,,
"Ванна асимметр.: KALIOPE 170x110, левая,без ножек, ультра белый, Сорт1,",,,,,,,1,"17 913,7",,Д7545,Акт о браке 000021985 от 16.12.2025 10:00:37,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Виздом,7,"17 609,93",,,,,,
"A2801 Унитаз-компакт, безободковый, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,,,,1,"5 333,21",,Д7416,Акт о браке 000021817 от 02.12.2025 13:01:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз безободковый EG301T, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"3 696,24",,Д7683,Акт о браке 000022075 от 23.12.2025 12:54:36,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,,,,1,"3 555,47",,Д7138,Акт о браке 000021674 от 25.11.2025 9:01:38,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2801, A2801B Бачок для унитаза-компакта, арматура",,,,,,,1,"1 724,23",,Д7556,Акт о браке 000021954 от 10.12.2025 15:26:35,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"A080 Бачок для унитаза-компакта, арматура",,,,,,,1,"1 716,68",,Д7488,Акт о браке 000021983 от 16.12.2025 9:48:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Бачок для унитаза-компакта EG301T, арматура",,,,,,,1,"792,05",,Д7321,Акт о браке 000021795 от 02.12.2025 11:27:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Бачок для унитаза-компакта EG301T, арматура",,,,,,,1,"792,05",,Д7321,Акт о браке 000021795 от 02.12.2025 11:27:34,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
утилизация / комиссия,,,,Акт_тек клиента,заводской брак,Китай - Хангпай,5,"17 234,25",,,,,,
"A2802 Унитаз-компакт, безободковый, сиденье тонкое ДП,  удлин. патрубок, крепления, арматура, гориз. выпуск",,,,,,,1,"6 050,14",,Д7565,Акт о браке 000021949 от 10.12.2025 13:13:14,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"A2809 Унитаз безободковый, сиденье тонкое ДП, удлин. патрубок, крепления (без бачка)",,,,,,,1,"5 810,07",,Д7444,Акт о браке 000021827 от 02.12.2025 16:54:21,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2807. A2808, A2809 Бачок для унитаза-компакта, арматура",,,,,,,1,"2 296,66",,Д7355,Акт о браке 000021709 от 26.11.2025 9:56:44,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"A2807. A2808, A2809 Бачок для унитаза-компакта, арматура",,,,,,,1,"2 296,66",,Д7456,Акт о браке 000021827 от 02.12.2025 16:54:21,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
