,,,,,,,,,,,,,,
Параметры:,,Период: 01.12.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,,
Причина списания (из документа списания),,,,Источник дефекта,Причина претензии,Номенклатура.Поставщик,Количество,Себестоимость,,,,,,
Номенклатура,,,,,,,,,,Персональный номер,Акт о браке,Склад,Документ списания,Комментарий
_МП утилизация / комиссия МП,,,,Возвраты от Маркетплейсов,"Бой ОЗОН, Яндекс",Китай - Виздом,19,"134 002,7",,,,,,
"Сиденье ДП с доводчиком для унитаза 5003, 5003B (подходит к T1017, T1087, SM9601R, SM9614, K51)",,,,,,,1,"964,21",,МП6432,Акт о браке 000021877 от 04.12.2025 11:29:18,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000127 от 11.12.2025 15:04:54,Списано на складе комиссией ДО(МП)
"Сиденье ДП с доводчиком для унитаза EG301T, A2801, A2801B, A8060",,,,,,,1,"823,19",,МП6462,Акт о браке 000022096 от 23.12.2025 15:38:54,ДО (МП) выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000131 от 24.12.2025 9:37:28,списано на складе ДО(МП)
утилизация / комиссия,,,,При проверке ОТК,бой\скол от поставщика,Китай - Смув,13,"87 280,46",,,,,,
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 062,07",,Е713,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 062,07",,Е714,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 062,07",,Е715,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 062,07",,Е802,Акт о браке 000021839 от 03.12.2025 11:25:28,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 791,59",,Е834,Акт о браке 000021910 от 09.12.2025 9:24:58,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 769,7",,Е820,Акт о браке 000021909 от 09.12.2025 9:21:19,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок SM9612 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 632,09",,Е712,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 538,28",,Е800,Акт о браке 000021839 от 03.12.2025 11:25:28,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 538,28",,Е801,Акт о браке 000021839 от 03.12.2025 11:25:28,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 441,31",,Е889,Акт о браке 000021940 от 09.12.2025 14:13:26,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 440,31",,Е716,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 440,31",,Е717,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 440,31",,Е718,Акт о браке 000021562 от 18.11.2025 9:20:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
утилизация / комиссия,,,,Акт_тек клиента,течь,Китай - Смув,10,"73 007,32",,,,,,
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 616,09",,Д7265,Акт о браке 000021635 от 20.11.2025 14:02:57,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 616,09",,Д7276,Акт о браке 000021590 от 19.11.2025 15:07:12,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9601, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"8 592,16",,Д7517,Акт о браке 000021926 от 09.12.2025 11:07:10,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 062,07",,Д74447,Акт о браке 000021858 от 03.12.2025 14:08:29,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"7 062,07",,Д7447,Акт о браке 000021834 от 03.12.2025 10:11:59,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000124 от 05.12.2025 10:06:28,"Списано на складе ДО(выяснения) 
Проверено"
"Унитаз-моноблок SM9618 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,6 875,,Д7670,Акт о браке 000022030 от 18.12.2025 13:30:54,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
"Унитаз-моноблок SM9612 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,,,,1,"6 632,09",,Д7567,Акт о браке 000021997 от 16.12.2025 12:51:42,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000132 от 24.12.2025 9:37:45,списано на складе ДО(выяснения)
