№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
Акт о браке 000022354 от 20.01.2026 13:21:24,,,,,,,,,,,,,,,"1,0",,"6352,9"
"95,0","Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7906,течь,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6352,9"
Акт о браке 000022355 от 20.01.2026 13:23:31,,,,,,,,,,,,,,,"1,0",,"5815,0"
"96,0",Зеркало Maria 100x80 прямоугольное с LED подсветкой (2 варианта навеса),,,,д7910,бой при доставке,бой,Мир зеркал ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"5815,0"
Акт о браке 000022356 от 20.01.2026 13:39:53,,,,,,,,,,,,,,,"1,0",,"5078,9"
"97,0",Зеркало Maria Black 100х80 light прямоугольное с LED подсветкой (2 варианта навеса),,,,д7909,бой при доставке,бой,Мир зеркал ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"5078,9"
Акт о браке 000022359 от 20.01.2026 14:19:39,,,,,,,,,,,,,,,"1,0",,"6531,7"
"98,0","Унитаз-моноблок T1029, сиденье ДП. арматура (с гофрой и подводкой)",,,,д7985,заводской брак,недолив на крышке бачка,Китай - Джиохол,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,1,,"6531,7"
Акт о браке 000022360 от 20.01.2026 14:24:22,,,,,,,,,,,,,,,"1,0",,"978,9"
"99,0","Сиденье ДП с доводчиком для унитаза SM9614 (подходит к T1017, SM9601, SM9601R, 5003, T1087, K51) тонкое",,,,д7983,Брак Сиденья ,треснуто сиденье,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"978,9"
Акт о браке 000022361 от 20.01.2026 14:26:05,,,,,,,,,,,,,,,"1,0",,"1769,7"
"100,0","Умывальник Santek ""Анимо-60"" 1/отв",,,,д7961,бой при доставке,бой,КЕРАМИКА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"1769,7"
Акт о браке 000022362 от 20.01.2026 14:27:00,,,,,,,,,,,,,,,"2,0",,"2431,5"
"101,0","Умывальник ""Луна"" 520*400*190 белый с отверстием ",,,,д7975,заводской брак,плеш уколы,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"1314,2"
"102,0","Пьедестал ""Луна"" белый",,,,д7974,заводской брак,мушки,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"1117,4"
Акт о браке 000022363 от 20.01.2026 14:28:11,,,,,,,,,,,,,,,"1,0",,"4822,2"
"103,0","60 Подвесная тумба «Ингрид 60» (ум. Line 60, Como 60, Миранда 60)",,,,д7897,бой при доставке,бой угла мокрая коробка,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4822,2"
Акт о браке 000022364 от 20.01.2026 14:30:46,,,,,,,,,,,,,,,"2,0",,"6150,4"
"104,0","Бачок для унитаза-компакта EG306T, EG307T, арматура",,,,д7903,бой при доставке,бой,Китай - Джиохол,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"1660,6"
"105,0","Унитаз безободковый EG306T, сиденье тонкое ДП, крепления (без бачка)",,,,д7902,бой при доставке,бой,Китай - Джиохол,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"4489,8"
Акт о браке 000022373 от 20.01.2026 15:19:59,,,,,,,,,,,,,,,"5,0",,"14594,0"
"106,0","Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,д7930,не устраивает качество,бой,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"2918,8"
"107,0","Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,д7926,бой при доставке,Бой бачка,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"2918,8"
"108,0","Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,д7928,бой при доставке,Бой чаши,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"2918,8"
"109,0","Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,д7929,не устраивает качество,бой,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"2918,8"
"110,0","Унитаз-компакт ""Луна"" кос.выпуск, ниж.подвод, 1 уров. арматура, сиденье полипропилен",,,,д7927,бой при доставке,Бой бачка,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"2918,8"
Акт о браке 000022379 от 21.01.2026 10:15:32,,,,,,,,,,,,,,,"1,0",,"9529,0"
"111,0",50 Пенал-шкаф «Retro 50» №2 универсальный,,,,д7931,бой при доставке,бой,ГЭОС,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"9529,0"
Акт о браке 000022380 от 21.01.2026 10:15:53,,,,,,,,,,,,,,,"4,0",,"18622,5"
"112,0","Унитаз безободковый EG311T, сиденье тонкое ДП, крепления (без бачка)",,,,д06947,бой при доставке,бой,Китай - Джинсили,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"4329,0"
"113,0","Унитаз подвесной K501 безободковый, сиденье тонкое ДП, крепления",,,,д6949,заводской брак,недолив,Китай - Хангпай,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),,,1,,"4232,9"
"114,0","Унитаз безободковый EG301T, сиденье тонкое ДП, крепления (без бачка)",,,,д6948,заводской брак,царапина ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3696,2"
"115,0","Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6946,заводской брак,царапина,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6364,4"
Акт о браке 000022381 от 21.01.2026 10:31:29,,,,,,,,,,,,,,,"1,0",,"9947,6"
"116,0","A2809 Унитаз-компакт, безободковый, сиденье тонкое ДП,  удлин. патрубок, крепления, арматура, гориз. выпуск",,,,д7987,заводской брак, Покупатель просить заменить на аналогичный  бачек не соответствует креплению унитаза.,Китай - Хангпай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"9947,6"
Акт о браке 000022382 от 21.01.2026 10:33:54,,,,,,,,,,,,,,,"1,0",,"1670,4"
"117,0","50 Умывальник ""Уют 500""",,,,д5436,заводской брак,недолив эмали,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"1670,4"
Акт о браке 000022383 от 21.01.2026 10:46:35,,,,,,,,,,,,,,,"1,0",,"5497,0"
"118,0","45 Подвесной пенал-шкаф ""Forest 45"" универсальный Pur-клей",,,,д7988,бой при хранении (клиент),брак,ВЕРСАЛЬ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5497,0"
Акт о браке 000022384 от 21.01.2026 10:52:39,,,,,,,,,,,,,,,"1,0",,"9529,0"
"119,0",50 Пенал-шкаф «Retro 50» №2 универсальный,,,,д7989,заводской брак, Товар находился в ненарушенной упаковке Царапины верхней крышки   ,ГЭОС,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"9529,0"
Акт о браке 000022386 от 21.01.2026 13:16:58,,,,,,,,,,,,,,,"1,0",,"6102,1"
"120,0","Унитаз-моноблок EG401 безободковый, сиденье тонкое ДП, арматура, СОРТ 2 без гофры и подводки",,,,д7994,течь,течь,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"6102,1"
Акт о браке 000022401 от 22.01.2026 9:49:50,,,,,,,,,,,,,,,"1,0",,"9352,7"
"121,0","Унитаз подвесной K703GM серый матовый безободковый, сиденье тонкое ДП, крепления",,,,д7971,заводской брак,царапина,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"9352,7"
Акт о браке 000022402 от 22.01.2026 9:50:37,,,,,,,,,,,,,,,"1,0",,"6469,4"
"122,0","70 Тумба ""Fantasy 70"" 2ящ. белое дерево ( ум. ""Фостер 700""/COMO 70)",,,,д7972,заводской брак,царапина,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"6469,4"
Акт о браке 000022403 от 22.01.2026 9:51:21,,,,,,,,,,,,,,,"1,0",,"2845,6"
"123,0","70 Зеркало-шкаф ""Era 70"" Монте белый",,,,д7973,бой в целой коробке,скол угла зеркала,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2845,6"
Акт о браке 000022404 от 22.01.2026 9:51:58,,,,,,,,,,,,,,,"1,0",,"2292,7"
"124,0",50 Тумба «НК -50» (ум. Уют 50),,,,д7982,заводской брак,скол,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"2292,7"
Акт о браке 000022405 от 22.01.2026 9:52:29,,,,,,,,,,,,,,,"1,0",,"3576,5"
"125,0","Унитаз-компакт ""W 102"" GESSO  кос.выпуск, ниж.подвод, 1 уров. арматура, сид. полипропилен",,,,д7984,заводской брак,холодный треск бачка,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"3576,5"
Акт о браке 000022406 от 22.01.2026 9:52:57,,,,,,,,,,,,,,,"1,0",,"11776,0"
"126,0","105 Тумба ""Taylor 105"" (ум. Дуглас 105/Виктория-100) с сифоном",,,,д7995,бой при доставке,бой,ДОМ МЕБЕЛИ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"11776,0"
Акт о браке 000022407 от 22.01.2026 9:53:31,,,,,,,,,,,,,,,"1,0",,"4381,8"
"127,0","65 Тумба ""Paola 65"" (ум. Оскар 65/ Вилис 65)",,,,д7949,бой в целой коробке,бой задней планки,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4381,8"
Акт о браке 000022408 от 22.01.2026 9:59:16,,,,,,,,,,,,,,,"1,0",,"1706,5"
"128,0","Бачок для унитаза-компакта EG308T, арматура",,,,д7922,бой при доставке,бой бачка,Китай - Джинсили,Транспортная компания,Склад РВП Возврат поставщику и некомплект,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Корректировки (бывший ЗУБАРЕВ),,,1,,"1706,5"
Акт о браке 000022409 от 22.01.2026 9:59:56,,,,,,,,,,,,,,,"1,0",,"6759,6"
"129,0","Ванна стальная ""Optimо""150*70 с ножками Казахстан (30)",,,,д7950,заводской брак,скол,Сантехпром ТОО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"6759,6"
Акт о браке 000022410 от 22.01.2026 10:00:24,,,,,,,,,,,,,,,"1,0",,"3552,9"
"130,0","60 Зеркало-шкаф ""Волна 60"" /лев/",,,,д7940,бой при доставке,бой,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"3552,9"
Акт о браке 000022411 от 22.01.2026 10:05:23,,,,,,,,,,,,,,,"1,0",,"4564,6"
"131,0","85 Зеркало-шкаф ""Alegra 85"" правое",,,,д7948,заводской брак,лопнула пленка,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4564,6"
Акт о браке 000022412 от 22.01.2026 10:06:05,,,,,,,,,,,,,,,"1,0",,"3499,7"
"132,0","75 Зеркало-шкаф ""НИКА-75""",,,,д7947,бой в целой коробке,трещена на зеркале ,Овчинникова Марина Николаевна ИП (FSC),Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"3499,7"
Акт о браке 000022413 от 22.01.2026 10:06:58,,,,,,,,,,,,,,,"1,0",,"4653,5"
"133,0","Westland FS02C-N Душевая стойка со смесителем нержавейка, хром EvaGold",,,,д7960,заводской брак,царапина,Китай - Чаотай,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002182 от 05.02.2026 10:17:26,,1,,"4653,5"
Акт о браке 000022414 от 22.01.2026 10:07:46,,,,,,,,,,,,,,,"1,0",,"7810,0"
"134,0","40 Пенал-шкаф ""Vesta 40"" №3 белый глянец Pur-клей",,,,д7966,заводской брак,скол,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"7810,0"
Акт о браке 000022415 от 22.01.2026 10:08:24,,,,,,,,,,,,,,,"1,0",,"6763,8"
"135,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7958,заводской брак,холодный треск ( монолит раскололся),Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6763,8"
Акт о браке 000022416 от 22.01.2026 10:08:54,,,,,,,,,,,,,,,"1,0",,"2477,2"
"136,0",60 Умывальник Pearl 600,,,,д7952,бой при доставке,бой,Китай - Пейт,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"2477,2"
Акт о браке 000022417 от 22.01.2026 10:09:33,,,,,,,,,,,,,,,"2,0",,"7952,0"
"137,0","Унитаз-компакт ""Лира"" белый  Киров, антивсплеск, кос.выпуск, сид. полипропилен",,,,д7953,заводской брак,холодный треск бачка,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"3749,6"
"138,0",Унитаз-компакт Элисса ОПТИМА  Белый нижний подвод (Старый Оскол),,,,д7954,заводской брак,холодный треск бачка,Строй Керамика Сервис,Поставщик,Склад РВП Возврат поставщику и некомплект,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Корректировки (бывший ЗУБАРЕВ),,,1,,"4202,5"
Акт о браке 000022418 от 22.01.2026 10:11:12,,,,,,,,,,,,,,,"1,0",,"1631,4"
"139,0","A080 Бачок для унитаза-компакта, арматура",,,,д7955,заводской брак,скол с боку на чаше,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"1631,4"
Акт о браке 000022419 от 22.01.2026 10:11:54,,,,,,,,,,,,,,,"1,0",,"1670,4"
"140,0","50 Умывальник ""Уют 500""",,,,д7956,заводской брак,плеш,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"1670,4"
Акт о браке 000022420 от 22.01.2026 10:13:30,,,,,,,,,,,,,,,"3,0",,"14002,1"
"141,0","50 Зеркало-шкаф ""Rados 50"" правое",,,,д7938,заводской брак,скол,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"3780,9"
"142,0","35 Пенал-шкаф ""Шимо 35""",,,,д7933,заводской брак,скол на дверцы,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4838,0"
"143,0","Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7935,бой при доставке,бой,Китай - Тренд,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"5383,2"
Акт о браке 000022421 от 22.01.2026 10:15:15,,,,,,,,,,,,,,,"1,0",,"4381,8"
"144,0","65 Тумба ""Paola 65"" (ум. Оскар 65/ Вилис 65)",,,,д7981,заводской брак,сколы на дне,Росток-Мебель,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,1,,"4381,8"
Акт о браке 000022422 от 22.01.2026 11:07:30,,,,,,,,,,,,,,,"3,0",,"18169,8"
"145,0","80 Подвесная тумба ""Forest 80"" (ум. А433 BM /А433 WGM) Pur-клей",,,,д7970,бой при доставке,бой угла,ВЕРСАЛЬ ООО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"6508,3"
"146,0","Amazonia FS11GR-PVD Душевая стойка (150 см) со смесителем, гигиеническим душем, латунь, оружейная сталь EvaGold",,,,д7968,заводской брак,царапина на душевой лейки ,Китай - Чаотай,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002182 от 05.02.2026 10:17:26,,1,,"7996,4"
"147,0","Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д7969,бой в целой коробке,трещена,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3665,0"
Акт о браке 000022424 от 22.01.2026 13:07:31,,,,,,,,,,,,,,,"1,0",,"8189,9"
"148,0","Унитаз-моноблок SM9615 МРАМОР безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7999,течь,брак течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"8189,9"
Акт о браке 000022425 от 22.01.2026 13:14:13,,,,,,,,,,,,,,,"1,0",,"6650,1"
"149,0","Унитаз-моноблок SM9609 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7998,течь,течь,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6650,1"
Акт о браке 000022432 от 23.01.2026 10:36:37,,,,,,,,,,,,,,,"1,0",,"844,9"
"150,0","Сиденье ДП с доводчиком для унитаза EG309T, EG310T, EG311T, EG312T (подходит к EG302, TR1197)",,,,д8007,Брак Сиденья ,разбито сиденье 1 шт (купил 20 компактов),Китай - Джинсили,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002178 от 05.02.2026 9:57:48,,1,,"844,9"
Акт о браке 000022433 от 23.01.2026 11:05:35,,,,,,,,,,,,,,,"1,0",,"5184,3"
"151,0","A080 Унитаз-компакт, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,д8004,течь,Трещина из-за чего протикает унитаз ,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"5184,3"
Акт о браке 000022436 от 23.01.2026 14:26:51,,,,,,,,,,,,,,,"1,0",,"6595,0"
"152,0","50 Зеркало ""Richard 50"" универсальное (сенсорный выключатель, рама пластик, гор-вер)",,,,д8009,заводской брак,не работает подсветка,Мир зеркал ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"6595,0"
Акт о браке 000022437 от 26.01.2026 9:47:45,,,,,,,,,,,,,,,"1,0",,"6159,1"
"153,0","Унитаз-компакт ""W 103"" GESSO  гор.выпуск,  2 уров. арматура, сид. дюропласт,soft-close микролифт",,,,д8011,заводской брак,уколы,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"6159,1"
Акт о браке 000022438 от 26.01.2026 9:49:51,,,,,,,,,,,,,,,"1,0",,"5383,2"
"154,0","Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8012,бой при хранении (клиент),"брак + товар не надлежащего качества, грязный мокрый с бумажками ",Китай - Тренд,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"5383,2"
Акт о браке 000022439 от 26.01.2026 10:18:53,,,,,,,,,,,,,,,"1,0",,"5813,7"
"155,0","A2801 Унитаз-компакт, безободковый, сиденье тонкое ДП, крепления, арматура, гориз. выпуск",,,,д8020,бой при хранении (клиент),скол на чаше,Китай - Хангпай,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"5813,7"
Акт о браке 000022442 от 26.01.2026 13:10:05,,,,,,,,,,,,,,,"1,0",,"6789,1"
"156,0","A2809 Унитаз безободковый, сиденье тонкое ДП, удлин. патрубок, крепления (без бачка)",,,,д8022,заводской брак,сухой треск на чаше,Китай - Хангпай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"6789,1"
Акт о браке 000022443 от 26.01.2026 13:17:38,,,,,,,,,,,,,,,"1,0",,"5180,4"
"157,0","A2801B Унитаз безободковый с биде, сиденье тонкое ДП, крепления (без бачка)",,,,д8021,заводской брак,не долив глазури эмали ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"5180,4"
Акт о браке 000022444 от 26.01.2026 13:21:23,,,,,,,,,,,,,,,"2,0",,"18863,8"
"158,0","100 Умывальник ""Грэмми"" 1000",,,,д8025,нарушены услов. эксплуат.,в герметике,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"6192,4"
"159,0","100 Тумба ""Fernanda 100"" (ум. Миранда 100/Грэмми 100/Фостер 100)",,,,д8026,нарушены услов. эксплуат.,разбухла в процессе эксплуатаций ,АЛМАЗ,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"12671,3"
Акт о браке 000022446 от 27.01.2026 13:10:01,,,,,,,,,,,,,,,"1,0",,"6531,7"
"160,0","Унитаз-моноблок T1029, сиденье ДП. арматура (с гофрой и подводкой)",,,,д8051,не обоснованная претензия,"(следы установки)При установке унитаза, было выявлено: крышка бачка унитаза не встает в паз.крышку уже присылали,  она не подошла. ",Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"6531,7"
Акт о браке 000022447 от 27.01.2026 13:24:04,,,,,,,,,,,,,,,"1,0",,"6763,8"
"161,0","Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8043,заводской брак,царапина на  моноблоке,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6763,8"
Акт о браке 000022448 от 27.01.2026 13:26:21,,,,,,,,,,,,,,,"1,0",,"11373,8"
"162,0","Унитаз-моноблок 5004B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д8037,течь,"протекает в 2х местах снизу, фотографии прилагаем",Китай - Хангпай,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000016 от 12.02.2026 8:39:50,Склад РВП ОСНОВНОЙ,,,1,,"11373,8"
Акт о браке 000022449 от 27.01.2026 13:43:00,,,,,,,,,,,,,,,"1,0",,"11776,0"
