,,,,,,,,,,,,,,
Маркетплейс: отчет по отправленным товарам,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Параметры:,,Период: 01.11.2025 - 31.01.2026,,,,,,,,,,,,
Отбор:,,"Контрагент В группе из списка ""ИНТЕРНЕТ РЕШЕНИЯ ООО; FBS Яндекс Маркет ; РВБ ООО (Вайлдберриз) "" И
Склад В группе из списка ""Склад РВП ОСНОВНОЙ; Склад для маркетплейсов""",,,,,,,,,,,,
,,,,,,,,,,,,,,
Дата накладной,,,Номер отправления или идентификатор услуги,Номер реализации в 1С,Номер заказа,,Список артикулов,,Организация,Контрагент,Список товаров или название услуги,Склад,Количество,Сумма
01.11.2025 16:13:04,,,0214050716-0043,ГФУТ-014834,ГФУТ-025213,,00-00001871,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"55 Умывальник ""Уют 550""",Склад РВП ОСНОВНОЙ,1,"6 083,5"
01.11.2025 16:13:05,,,0111239100-0215,ГФУТ-014835,ГФУТ-025214,,УТ-00160108,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),Склад РВП ОСНОВНОЙ,1,"6 083,5"
01.11.2025 16:13:05,,,0111239100-0215,ГФУТ-014835,ГФУТ-025214,,00-00001871,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"55 Умывальник ""Уют 550""",Склад РВП ОСНОВНОЙ,1,"6 083,5"
01.11.2025 16:13:08,,,36721131-0265,ГФУТ-014836,ГФУТ-025215,,УТ-00009248,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",Склад РВП ОСНОВНОЙ,1,37 993
01.11.2025 16:13:09,,,0123737925-0110,ГФУТ-014837,ГФУТ-025228,,УТ-00160108,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,55 Тумба «Мидея 55» (ум. ум.Уют 55)(в разборе),Склад РВП ОСНОВНОЙ,1,"6 083,5"
01.11.2025 16:13:09,,,0123737925-0110,ГФУТ-014837,ГФУТ-025228,,00-00001871,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"55 Умывальник ""Уют 550""",Склад РВП ОСНОВНОЙ,1,"6 083,5"
01.11.2025 16:13:18,,,89135877-0247,ГФУТ-014838,ГФУТ-025239,,УТ-00008068,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"Унитаз-моноблок 5003 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",Склад для маркетплейсов,1,27 969
01.11.2025 16:13:38,,,0198800182-0067,ГФУТ-014839,ГФУТ-025207,,00-00003861,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"70 Зеркало-шкаф ""Braunsy 70"" лев.(кожа)",Склад РВП ОСНОВНОЙ,1,19 015
01.11.2025 16:13:53,,,0198800182-0067,ГФУТ-014840,ГФУТ-025209,,УТ-00005855,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"70 Тумба ""Braunsy 70 №2"" кожа (ум.Миранда-70, COMO 70)",Склад РВП ОСНОВНОЙ,1,16 353
01.11.2025 16:13:53,,,0198800182-0067,ГФУТ-014840,ГФУТ-025209,,00-00003890,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"70 Раковина встраив.: COMO 70 1 отв., белый, Сорт1(18)",Склад РВП ОСНОВНОЙ,1,10 902
01.11.2025 16:14:09,,,09868796-0496,ГФУТ-014841,ГФУТ-025229,,УТ-00008799,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,60 Шкаф навесной 60 белый глянец,Склад РВП ОСНОВНОЙ,1,12 613
01.11.2025 16:14:26,,,94565922-0141,ГФУТ-014842,ГФУТ-025230,,УТ-00005932,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"105 Тумба ""Duglas 105 №2"" (ум. Дуглас 105/Виктория-100) с сифоном",Склад РВП ОСНОВНОЙ,1,"36 606,6"
01.11.2025 16:14:26,,,94565922-0141,ГФУТ-014842,ГФУТ-025230,,УТ-00002272,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"105 Умывальник ""Дуглас 1050""",Склад РВП ОСНОВНОЙ,1,"24 404,4"
01.11.2025 16:14:40,,,82389027-0218,ГФУТ-014843,ГФУТ-025231,,УТ-00007164,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"55 Тумба ""Каскад-55"" моринга (Элеганс-55)",Склад РВП ОСНОВНОЙ,1,"10 819,8"
01.11.2025 16:14:40,,,82389027-0218,ГФУТ-014843,ГФУТ-025231,,00-00002601,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"55 Умывальник ""Элеганс 550""",Склад РВП ОСНОВНОЙ,1,"7 213,2"
01.11.2025 16:14:54,,,0114996016-0016,ГФУТ-014844,ГФУТ-025237,,УТ-00005932,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"105 Тумба ""Duglas 105 №2"" (ум. Дуглас 105/Виктория-100) с сифоном",Склад РВП ОСНОВНОЙ,1,"36 606,6"
01.11.2025 16:14:54,,,0114996016-0016,ГФУТ-014844,ГФУТ-025237,,УТ-00002272,,ГРАНДФАЯНС ООО,ИНТЕРНЕТ РЕШЕНИЯ ООО,"105 Умывальник ""Дуглас 1050""",Склад РВП ОСНОВНОЙ,1,"24 404,4"
02.11.2025 12:55:38,,,50421036481,ГФУТ-014845,ГФУТ-025240,,УТ-00004757,,ГРАНДФАЯНС ООО,FBS Яндекс Маркет ,"100 Умывальник ""Беверли-100"" ",Склад РВП ОСНОВНОЙ,1,"18 594,3"
02.11.2025 12:55:38,,,50421036481,ГФУТ-014845,ГФУТ-025240,,УТ-00006330,,ГРАНДФАЯНС ООО,FBS Яндекс Маркет ,"100 Тумба ""Bellucci 100"" (ум. Беверли - 100)",Склад РВП ОСНОВНОЙ,1,"43 386,7"
02.11.2025 12:55:38,,,50421036481,ГФУТ-014845,ГФУТ-025240,,УТ-00006331,,ГРАНДФАЯНС ООО,FBS Яндекс Маркет ,"40 Пенал-шкаф ""Bellucci 40""",Склад РВП ОСНОВНОЙ,1,44 503
02.11.2025 12:55:41,,,50416314115,ГФУТ-014846,ГФУТ-025241,,УТ-00160325,,ГРАНДФАЯНС ООО,FBS Яндекс Маркет ,"50 Зеркало-шкаф ""Даймонд 50"" (в разборе) Белый",Склад РВП ОСНОВНОЙ,1,8 032
